kappa,rep,rho,wald_none_t1,wald_none_bh,wald_logN_t1,wald_logN_bh,wald_zola_t1,wald_zola_bh,perm_plain_C_t1,perm_plain_C_bh,perm_plain_O_t1,perm_plain_O_bh,perm_strata_O_t1,perm_strata_O_bh
1.0,8,0.24,0.3229166666666667,2,0.05263157894736842,0,0.054945054945054944,0,0.2708333333333333,0,0.052083333333333336,0,0.041666666666666664,0
1.0,9,0.263,0.19791666666666666,0,0.010526315789473684,0,0.02197802197802198,0,0.19791666666666666,0,0.020833333333333332,0,0.010416666666666666,0
1.0,10,0.258,0.4479166666666667,11,0.010526315789473684,0,0.054945054945054944,0,0.4375,17,0.041666666666666664,0,0.020833333333333332,0
1.0,11,0.283,0.2916666666666667,11,0.1368421052631579,0,0.17582417582417584,1,0.28125,14,0.19791666666666666,0,0.15625,0
1.0,12,0.301,0.3958333333333333,23,0.0,0,0.02197802197802198,0,0.3645833333333333,22,0.03125,0,0.0,0
1.0,13,0.27,0.11458333333333333,0,0.05263157894736842,0,0.06593406593406594,0,0.10416666666666667,0,0.07291666666666667,0,0.0625,0
1.0,14,0.239,0.16666666666666666,0,0.042105263157894736,0,0.03296703296703297,0,0.17708333333333334,0,0.03125,0,0.020833333333333332,0
1.0,15,0.266,0.375,9,0.06315789473684211,0,0.054945054945054944,0,0.40625,10,0.052083333333333336,0,0.052083333333333336,0
1.0,16,0.267,0.3541666666666667,22,0.14736842105263157,0,0.12087912087912088,0,0.3645833333333333,22,0.11458333333333333,0,0.125,0
1.0,17,0.263,0.4583333333333333,20,0.010526315789473684,0,0.02197802197802198,0,0.4479166666666667,19,0.041666666666666664,0,0.010416666666666666,0
1.0,18,0.296,0.3541666666666667,7,0.042105263157894736,0,0.03296703296703297,0,0.3645833333333333,6,0.03125,0,0.041666666666666664,0
1.0,19,0.289,0.375,18,0.07368421052631578,0,0.08791208791208792,0,0.3854166666666667,17,0.052083333333333336,0,0.0625,0
2.0,0,0.395,0.3854166666666667,15,0.05263157894736842,0,0.054945054945054944,0,0.3958333333333333,18,0.09375,0,0.09375,0
2.0,1,0.404,0.5208333333333334,43,0.031578947368421054,0,0.12087912087912088,0,0.5416666666666666,42,0.07291666666666667,0,0.041666666666666664,0
2.0,2,0.391,0.4791666666666667,35,0.042105263157894736,0,0.10989010989010989,0,0.4583333333333333,29,0.052083333333333336,0,0.052083333333333336,0
2.0,3,0.415,0.625,41,0.05263157894736842,0,0.03296703296703297,0,0.6041666666666666,41,0.0625,0,0.052083333333333336,0
