cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI,replica_corr
2001,13,zinq,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,13,zinq,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,13,locom,A1n,none,46.1,60,10,0.1,0.9,0.9,0.03333333333333333,
2001,13,locom,A2,Wdet,,60,10,0.1,0.9,0.9,,
2001,13,locom,A2,Winfo,,60,10,0.1,0.9,0.9,,
2001,14,twochannel,A1,none,61.4,0,10,0.0,1.0,1.0,0.011111111111111112,
2001,14,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,14,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,14,wilcoxon,A0,none,0.0,0,10,0.0,1.0,1.0,0.05555555555555555,
2001,14,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,14,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,14,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,14,linda,A0,none,2.7,0,10,0.0,1.0,1.0,0.03333333333333333,0.9965851223224882
2001,14,linda,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,14,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,14,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,14,zinq,A0,none,4.0,0,10,0.0,1.0,1.0,0.044444444444444446,
2001,14,zinq,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,14,zinq,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,14,locom,A1n,none,29.4,64,7,0.0,0.7,0.7,0.07692307692307693,
2001,14,locom,A2,Wdet,,64,7,0.0,0.7,0.7,,
2001,14,locom,A2,Winfo,,64,7,0.0,0.7,0.7,,
2001,15,twochannel,A1,none,50.2,0,10,0.0,1.0,1.0,0.13333333333333333,
2001,15,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,15,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,15,wilcoxon,A0,none,0.1,0,10,0.0,1.0,1.0,0.12222222222222222,
2001,15,wilcoxon,A1,none,,0,12,0.16666666666666666,1.0,1.0,0.13333333333333333,
2001,15,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,15,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,15,linda,A0,none,2.7,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667,0.9981808131305684
2001,15,linda,A1,none,,0,15,0.3333333333333333,1.0,1.0,0.1111111111111111,
2001,15,linda,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,15,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
