cell,rep,n,phi_hat,smoke_seen,det_tested,int_tested,nrej_acat,fdp_acat,tpr_acat,tprA_acat,tprP_acat,nrej_chisq,fdp_chisq,tpr_chisq,tprA_chisq,tprP_chisq,nrej_det,fdp_det,tpr_det,nrej_int,fdp_int,tpr_int,typeI_null,secs
1005,7,200,100000.0,False,100,100,8,0.0,0.8,0.8,,9,0.1111111111111111,0.8,0.8,,0,0.0,0.0,8,0.0,0.8,0.06666666666666667,12.4
1005,8,200,10000.0,False,100,100,10,0.0,1.0,1.0,,10,0.0,1.0,1.0,,0,0.0,0.0,9,0.0,0.9,0.03333333333333333,11.1
1005,9,200,100000.0,False,100,100,9,0.0,0.9,0.9,,10,0.0,1.0,1.0,,3,0.0,0.3,9,0.0,0.9,0.03333333333333333,11.6
1005,10,200,100000.0,False,100,100,11,0.09090909090909091,1.0,1.0,,12,0.16666666666666666,1.0,1.0,,0,0.0,0.0,10,0.0,1.0,0.08888888888888889,11.8
1005,11,200,100000.0,False,100,100,10,0.1,0.9,0.9,,10,0.1,0.9,0.9,,3,0.3333333333333333,0.2,9,0.0,0.9,0.05555555555555555,11.6
1005,12,200,10000.0,False,100,100,10,0.0,1.0,1.0,,12,0.16666666666666666,1.0,1.0,,0,0.0,0.0,9,0.0,0.9,0.14444444444444443,11.2
1005,13,200,100000.0,False,100,100,11,0.09090909090909091,1.0,1.0,,11,0.09090909090909091,1.0,1.0,,4,0.25,0.3,10,0.1,0.9,0.08888888888888889,11.8
1005,14,200,100000.0,False,100,100,11,0.09090909090909091,1.0,1.0,,12,0.16666666666666666,1.0,1.0,,0,0.0,0.0,12,0.16666666666666666,1.0,0.08888888888888889,12.2
1005,15,200,100000.0,False,100,100,10,0.0,1.0,1.0,,10,0.0,1.0,1.0,,4,0.0,0.4,8,0.0,0.8,0.03333333333333333,12.8
1005,16,200,100000.0,False,100,100,10,0.0,1.0,1.0,,12,0.16666666666666666,1.0,1.0,,0,0.0,0.0,11,0.09090909090909091,1.0,0.05555555555555555,11.8
1005,17,200,100000.0,False,100,100,10,0.0,1.0,1.0,,10,0.0,1.0,1.0,,0,0.0,0.0,9,0.0,0.9,0.011111111111111112,12.2
1005,18,200,100000.0,False,100,100,8,0.0,0.8,0.8,,10,0.0,1.0,1.0,,0,0.0,0.0,9,0.1111111111111111,0.8,0.03333333333333333,12.1
1005,19,200,100000.0,False,100,100,9,0.0,0.9,0.9,,10,0.0,1.0,1.0,,0,0.0,0.0,11,0.09090909090909091,1.0,0.05555555555555555,11.3
1006,0,200,100000.0,False,100,100,0,0.0,0.0,0.0,,2,0.0,0.2,0.2,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.8
1006,1,200,100000.0,False,100,100,4,0.25,0.3,0.3,,4,0.25,0.3,0.3,,3,0.3333333333333333,0.2,0,0.0,0.0,0.05555555555555555,11.8
1006,2,200,100000.0,False,100,99,0,0.0,0.0,0.0,,2,0.0,0.2,0.2,,0,0.0,0.0,2,0.0,0.2,0.1111111111111111,12.1
1006,3,200,100000.0,False,100,99,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.0,12.3
1006,4,200,100000.0,False,100,100,0,0.0,0.0,0.0,,3,0.3333333333333333,0.2,0.2,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.6
1006,5,200,100000.0,False,100,98,4,0.0,0.4,0.4,,0,0.0,0.0,0.0,,0,0.0,0.0,3,0.0,0.3,0.07777777777777778,12.0
